Building,City,Country,Architect / Designer,Construction Costs ($/sqm),Total Construction Costs (billion $).text,Costruction Costs adjusted for inflation (2012) (billion $),Height (meters),Floors,Year Built
Antilla,Mumbai,India,Perkins & Will,"$53,820 ","$2,000,000,000 ","$2,530,000,000 ",173,27,2010
Bank of China Tower,Hong Kong,Hong Kong,I. M. Pei,"$7,407 ","$1,000,000,000 ","$2,090,000,000 ",367,76,1990
Bellagio,Las Vegas,United States of America,DeRuyter Butler,"$3,588 ","$1,600,000,000 ","$2,290,000,000 ",151,36,1998
Burj Khalifa,Dubai,United Arab Emirates,Adrian Smith,"$4,847 ","$1,500,000,000 ","$1,550,000,000 ",828,163,2010
City of Dreams (casino),Macau,Macau,Arquitectonica,"$7,797 ","$2,400,000,000 ","$2,750,000,000 ",164,37,2009
ECB Headquarters,Frankfurt,Germany,Coop Himmelb(l)au,"$8,533 ","$1,570,000,000 ","$1,570,000,000 ",217,48,2013
Emirates Palace,Abu Dhabi,United Arab Emirates,John Elliott,"$3,530 ","$3,000,000,000 ","$4,460,000,000 ",72.6,6,2005
Marina Bay Sands,Singapore,Singapore,Moshe Safdie,"$6,509 ","$5,500,000,000 ","$6,000,000,000 ",194,57,2010
One World Trade Center,New York,United States of America,David Childs,"$15,732 ","$3,800,000,000 ","$3,800,000,000 ",541,104,2012
Petronas Twin Towers,Kuala Lumpur,Malaysia,C̩sar Pelli,"$4,051 ","$1,160,000,000 ","$1,600,000,000 ",452,88,1999
Princess Tower,Dubai,United Arab Emirates,Adnan Saffarini,"$14,467 ","$2,170,000,000 ","$2,170,000,000 ",414,101,2012
Resorts World Sentosa,Singapore,Singapore,Michael Graves,"$15,170 ","$4,930,000,000 ","$5,380,000,000 ",50,10,2010
Taipei 101,Taipei,Taiwan,C.Y. Lee & Partners,"$9,307 ","$1,800,000,000 ","$2,000,000,000 ",509,101,2004
The Cosmopolitan,Las Vegas,United States of America,Friedmutter Group,"$6,307 ","$3,900,000,000 ","$4,160,000,000 ",184,52,2010
The Palazzo,Las Vegas,United States of America,"HKS, Inc.","$2,788 ","$1,800,000,000 ","$2,050,000,000 ",196,50,2007
Triple One,Yongsan,South Korea,Renzo Piano,"$4,276 ","$1,270,000,000 ","$1,270,000,000 ",620,111,2016
Venetian Macau,Macau,Macau,Aedas,"$2,450 ","$2,400,000,000 ","$2,970,000,000 ",225,39,2005
Wembley Stadium,London,UK,Foster and Partners,,"$1,500,000,000 ","$1,840,000,000 ",133,5,2006
World Finance Center,Shanghai,China,Kohn Pedersen Fox,"$3,145 ","$1,200,000,000 ","$1,390,000,000 ",494,101,2008
Wynn Resort,Las Vegas,United States of America,Butler/Ashworth Architects,"$3,103 ","$2,700,000,000 ","$3,260,000,000 ",187,45,2005
Yankee Stadium,New York,United States of America,Populous,"$12,230 ","$1,500,000,000 ","$1,630,000,000 ",61,5,2009
